title,genre
Filly Brown,Drama
The Dish,Drama
Waiting for Guffman,Comedy
The Age of Innocence,Drama
Malevolence,Horror
Old Partner,Documentary
Lady Jane,Drama
Mad Dog Time,Drama
Beauty Is Embarrassing,Documentary
The Snowtown Murders,Drama
Superman II,Action & Adventure
Leap of Faith,Drama
The Royal Tenenbaums,Comedy
School for Scoundrels,Comedy
Rhinestone,Comedy
Burn After Reading,Drama
The Doors,Drama
The Wood,Drama
Jason X,Horror
Dragon Wars,Drama
Fallen,Drama
The Gleaners and I,Documentary
Tamara Drewe,Drama
Not Without My Daughter,Drama
The Yes Men Fix the World,Documentary
"Oh, God! You Devil",Comedy
Meet Joe Black,Drama
The Bay,Horror
Scandal,Art House & International
Imagine: John Lennon,Musical & Performing Arts
Locke,Mystery & Suspense
The Spongebob Squarepants Movie,Animation
The Muppet Christmas Carol,Science Fiction & Fantasy
Die Hard 2,Mystery & Suspense
The Reckoning,Documentary
Alice in Wonderland,Action & Adventure
I'm Not There,Drama
Three Wishes,Drama
Aliens,Action & Adventure
Driving Miss Daisy,Drama
Max,Drama
Serpico,Drama
Basic,Drama
The Guru,Comedy
The Color Purple,Drama
The Dream Team,Comedy
The Man Without a Face,Drama
The White Countess,Drama
Viva Knievel!,Drama
Rising Sun,Drama
Mojados: Through the Night,Documentary
Seven Pounds,Drama
The Mothman Prophecies,Mystery & Suspense
Breaking and Entering,Drama
The English Patient,Drama
Heaven & Earth,Drama
The Last Kiss,Drama
Three of Hearts,Drama
The Tortured,Mystery & Suspense
The Package,Mystery & Suspense
"Happy, Texas",Comedy
Then She Found Me,Drama
Promises,Documentary
Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,Documentary
The Recruit,Mystery & Suspense
Alvin and the Chipmunks: Chipwrecked,Animation
The Thin Blue Line,Documentary
The Cotton Club,Musical & Performing Arts
Lord of the Flies,Drama
"Same Time, Next Year",Drama
Proof of Life,Drama
Waking Up in Reno,Comedy
Silent Fall,Mystery & Suspense
Rock 'n' Roll High School,Comedy
Twilight Zone---The Movie,Horror
The Golden Bowl,Drama
Rio 2,Animation
Easy,Drama
Major League: Back to the Minors,Comedy
The Wedding Banquet (Xi yan),Drama
Gotti,Drama
Strange Brew,Comedy
Robocop 2,Action & Adventure
Riders (Steal),Action & Adventure
Warrior,Drama
Percy Jackson: Sea of Monsters,Drama
Visioneers,Drama
Bats,Drama
The Brother from Another Planet,Drama
Blame It on Rio,Comedy
North Face (Nordwand),Drama
Predator,Action & Adventure
The Reef,Mystery & Suspense
Dirty Sanchez: The Movie,Comedy
Shakedown,Drama
The Principal,Drama
A New Life,Drama
Arlington Road,Mystery & Suspense
Annie Hall,Comedy
Charlie: The Life and Art of Charles Chaplin,Documentary
The Sessions,Drama
Prison,Drama
Kiss of Death,Drama
Citizen X,Drama
The Comebacks,Comedy
The Other Woman,Drama
Pusher III: I'm the Angel of Death,Drama
Two for the Money,Drama
Star Trek V - The Final Frontier,Action & Adventure
Cop & 1/2,Comedy
Django Unchained,Other
Cousins,Drama
Spy Game,Drama
Held Up,Comedy
Striking Distance,Mystery & Suspense
One Night With the King,Drama
Phil Ochs: There But For Fortune,Musical & Performing Arts
Lethal Weapon 4,Action & Adventure
101 Dalmatians,Action & Adventure
Bhutto,Documentary
Deep Impact,Drama
Shoot 'Em Up,Drama
The Room,Drama
Made of Honor,Comedy
The Longest Yard,Drama
Dirty Love,Comedy
Berberian Sound Studio,Horror
A Good Old Fashioned Orgy,Comedy
May,Drama
Any Day Now,Drama
Africa: The Serengeti,Documentary
Grosse Pointe Blank,Drama
Jack and Jill,Comedy
Sherman's March,Documentary
"The Ninth Configuration (Twinkle, Twinkle, Killer Kane)",Drama
Mr. & Mrs. Bridge,Drama
Space Jam,Comedy
Spring Breakers,Drama
Fantastic Four: Rise of the Silver Surfer,Action & Adventure
The Hangover,Comedy
The Shaggy D.A.,Comedy
Orca - The Killer Whale,Drama
Tang shan da xiong (Fists of Fury) (The Big Boss),Drama
The Story Of Luke,Drama
"New York, New York",Drama
Barbarosa,Other
Sinbad and the Eye of the Tiger,Action & Adventure
K-19: The Widowmaker,Drama
What's Eating Gilbert Grape,Drama
Of Mice and Men,Drama
In the Name of the King: A Dungeon Siege Tale,Action & Adventure
Hairspray,Musical & Performing Arts
Godzilla,Mystery & Suspense
The Freshman,Drama
The Legend of Hercules,Action & Adventure
North Sea Hijack (ffolkes) (Assault Force),Action & Adventure
Texasville,Drama
My Baby's Daddy,Comedy
Clerks II,Drama
White House Down,Drama
Flesh & Blood (Flesh+Blood) (The Rose and the Sword),Drama
Bastard out of Carolina,Drama
Red Dawn,Action & Adventure
Rescue Dawn,Drama
The Longshots,Drama
Blind Spot: Hitler's Secretary,Documentary
U-Turn,Drama
Something's Gotta Give,Comedy
A Boy and His Dog,Drama
Terror Train,Horror
Leatherface: The Texas Chainsaw Massacre III,Horror
Lorenzo's Oil,Drama
Groundhog Day,Other
Conviction,Drama
Kicking It,Documentary
Vampire Hunter D: Bloodlust,Action & Adventure
Bounce,Drama
A Mighty Heart,Drama
Santa Sangre,Drama
Resident Evil,Action & Adventure
Top Gun,Drama
25th Hour,Drama
The Bad News Bears in Breaking Training,Comedy
Streets of Gold,Drama
The Mod Squad,Drama
Where the Heart Is,Drama
Battlefield Earth,Action & Adventure
Osmosis Jones,Comedy
Never Cry Wolf,Drama
A Good Woman,Drama
Drive,Drama
2 Days in the Valley,Drama
Married to It,Drama
Pay It Forward,Drama
Topsy-Turvy,Drama
Beyond the Gates,Drama
Top Secret!,Comedy
Gaza Strip,Documentary
Night and the City,Drama
Lockout (Unrated),Action & Adventure
Orwell Rolls in His Grave,Documentary
Sunshine Cleaning,Comedy
The Stupids,Comedy
Better This World,Documentary
Wimbledon,Drama
B. Monkey,Drama
Caveman,Action & Adventure
V for Vendetta,Drama
One on One,Drama
Flesh And Bone,Drama
Mission: Impossible,Mystery & Suspense
A Time to Kill,Mystery & Suspense
The Color of Money,Other
Knightriders,Drama
The Company You Keep,Mystery & Suspense
Madea Goes to Jail,Drama
Every Which Way But Loose,Action & Adventure
Strictly Business,Drama
Once,Musical & Performing Arts
Beverly Hills Cop,Action & Adventure
The Raven,Mystery & Suspense
Nick and Norah's Infinite Playlist,Comedy
Attack of the 50 Foot Woman,Other
The Sum of All Fears,Drama
The Interview,Comedy
Let the Right One In,Drama
Volcano,Drama
Nostalgia for the Light,Documentary
Where the Heart Is,Drama
The Cake Eaters,Art House & International
The Darwin Awards,Drama
Kick-Ass 2,Action & Adventure
Hotel Terminus: The Life and Times of Klaus Barbie,Documentary
Jade,Drama
Lethal Weapon,Drama
Closet Land,Mystery & Suspense
Cast Away,Drama
Crocodile Dundee in Los Angeles,Action & Adventure
Motorama,Drama
Lost and Delirious,Drama
Antiviral,Drama
Class Action,Mystery & Suspense
The Pit and the Pendulum,Horror
Man on Wire,Documentary
Madagascar: Escape 2 Africa,Action & Adventure
Failure to Launch,Drama
London to Brighton,Mystery & Suspense
A Stranger Among Us,Drama
Van Wilder: The Rise of Taj (Van Wilder 2),Comedy
The Human Stain,Mystery & Suspense
Woo,Comedy
The Black Stallion,Action & Adventure
Savior,Drama
Project X,Drama
Bottle Rocket,Drama
At First Sight,Drama
Session 9,Drama
Liz & Dick,Drama
The Devil's Rejects,Horror
Surviving Progress,Documentary
The Squeeze,Action & Adventure
Kindergarten Cop,Action & Adventure
In the Loop,Art House & International
Cypher,Action & Adventure
Love and Death,Drama
Happy Gilmore,Comedy
Catch a Fire,Drama
Run Lola Run,Drama
Funny Farm,Comedy
Winter Kills,Mystery & Suspense
Waking Life,Drama
An Ideal Husband,Comedy
Being John Malkovich,Drama
Secondhand Lions,Drama
Politiki Kouzina (A Touch of Spice),Drama
Hellboy II: The Golden Army (Hellboy 2),Action & Adventure
The Return of the Pink Panther,Mystery & Suspense
Love the Beast,Documentary
200 Cigarettes,Drama
The Wild Geese,Drama
The Slumber Party Massacre,Horror
Oliver & Company,Animation
No Mercy,Drama
Imagining Argentina,Art House & International
Good Boy!,Comedy
Speed,Mystery & Suspense
Me and You and Everyone We Know,Drama
Henry: Portrait of a Serial Killer,Drama
Someone to Watch over Me,Drama
Grease,Other
28 Days Later,Science Fiction & Fantasy
Normal,Drama
Winter's Bone,Drama
Your Sister's Sister,Drama
Sleepover,Comedy
The Kingdom,Drama
House on Haunted Hill,Mystery & Suspense
Patch Adams,Drama
Harry Potter and the Chamber of Secrets,Science Fiction & Fantasy
The Heavenly Kid,Drama
Snow Flower And The Secret Fan,Art House & International
Apollo 18,Science Fiction & Fantasy
Total Eclipse,Art House & International
Hoodlum,Drama
National Security,Drama
Down in the Valley,Other
Young Adult,Drama
The Man Who Sued God,Drama
Compliance,Drama
I Spit On Your Grave,Horror
Maniac,Drama
Dog Park,Comedy
The Brothers Solomon,Comedy
Maurice,Drama
The Last Boy Scout,Drama
Alligator,Science Fiction & Fantasy
Jennifer 8,Mystery & Suspense
RoboCop,Drama
The Football Factory,Documentary
Bamboozled,Drama
The Sure Thing,Comedy
The Slaughter Rule,Drama
Rise of the Footsoldier,Action & Adventure
Hollywood Homicide,Action & Adventure
Morning Glory,Comedy
11'09''01 - September 11,Drama
Clownhouse,Horror
Rampart,Drama
Cashback,Drama
The Host,Drama
Aspen Extreme,Drama
Nomads,Drama
Deconstructing Harry,Comedy
The End of America,Documentary
Hot Shots! Part Deux,Action & Adventure
Control,Musical & Performing Arts
Lassie,Action & Adventure
What Richard Did,Drama
Emperor,Mystery & Suspense
Hereafter,Mystery & Suspense
Aladdin,Action & Adventure
The King of Comedy,Drama
Bound,Mystery & Suspense
The Pact,Horror
Electric Dreams,Drama
Bull Durham,Drama
Man on Wire,Documentary
Epic Movie,Action & Adventure
Below,Mystery & Suspense
The Captive,Mystery & Suspense
The Saddest Music in the World,Drama
"The Godfather, Part II",Mystery & Suspense
Phantom of the Paradise,Horror
Twenty Bucks,Drama
Alaska,Action & Adventure
Running on Empty,Musical & Performing Arts
Godzilla Vs Mechagodzilla,Art House & International
49 Up,Documentary
This is 40,Comedy
Fair Game,Drama
Hercules,Action & Adventure
Max Manus: Man of War,Drama
Curdled,Drama
The Omen,Mystery & Suspense
A Night at the Roxbury,Comedy
Tank Girl,Action & Adventure
Missing,Mystery & Suspense
Point Break,Mystery & Suspense
Shall We Dance,Drama
Malibu's Most Wanted,Comedy
The Evening Star,Drama
Cloud Atlas,Drama
Fire Down Below,Action & Adventure
The Five Heartbeats,Musical & Performing Arts
Porky's Revenge,Art House & International
Disaster Movie,Comedy
Teen Wolf Too,Science Fiction & Fantasy
The Fighter,Other
A Little Romance,Drama
First Knight,Drama
Tabloid,Documentary
The Hurt Locker,Drama
Benda Bilili!,Documentary
Memento,Mystery & Suspense
A Prayer for the Dying,Drama
Jonestown: The Life and Death of Peoples Temple,Documentary
So I Married an Axe Murderer,Comedy
Ziggy Stardust and the Spiders from Mars,Documentary
Conversations With Other Women,Drama
Sleepwalking,Drama
"Next Stop, Greenwich Village",Drama
Dream House,Mystery & Suspense
Resurrecting the Champ,Drama
The Help,Drama
A Scanner Darkly,Drama
Hard Candy,Drama
This Is the End,Drama
Longtime Companion,Drama
The Last Lions,Documentary
"Aguirre, der Zorn Gottes (Aguirre, the Wrath of God)",Drama
The Main Event,Other
Inserts,Drama
Star Trek: Insurrection,Action & Adventure
Valmont,Drama
Kill Bill: Volume 2,Drama
8 Heads in a Duffel Bag,Comedy
Meteor,Drama
Dance Flick,Action & Adventure
Stolen Summer,Drama
1941,Action & Adventure
Underworld: The Rise of the Lycans,Action & Adventure
After Innocence,Documentary
Tim and Eric's Billion Dollar Movie,Comedy
Mr. Jones,Drama
Goin' South,Other
Russian Dolls (Les Poupees Russes),Other
My Flesh and Blood,Documentary
Revenge of the Nerds II: Nerds in Paradise,Comedy
Hulk,Action & Adventure
Vampire in Brooklyn,Horror
George Washington,Art House & International
Agent Cody Banks 2: Destination London,Action & Adventure
Into The Arms Of Strangers - Stories Of The Kindertransport,Documentary
The Take,Drama
A Star is Born,Drama
The Belly of an Architect,Drama
Veronica Mars,Drama
Kaena: The Prophecy,Action & Adventure
Ghost Ship,Horror
21 Grams,Drama
Date Night,Comedy
Anchorman 2: The Legend Continues,Comedy
Thunderheart,Drama
Guess Who,Comedy
Brubaker,Drama
Jagged Edge,Mystery & Suspense
The Last Remake of Beau Geste,Action & Adventure
Melancholia,Drama
Boomerang,Comedy
The Ritz,Art House & International
The Man with the Golden Gun,Drama
Hellraiser - Bloodline,Science Fiction & Fantasy
The Butcher's Wife,Other
Diner,Drama
Cecil B. Demented,Comedy
Ragtime,Drama
One Day,Drama
Rambling Rose,Drama
Cameraman: The Life And Work Of Jack Cardiff,Documentary
I Am Bruce Lee,Documentary
Let It Be,Documentary
The Groove Tube,Other
Brighton Rock,Mystery & Suspense
The Disappearance of Alice Creed,Mystery & Suspense
Sgt. Bilko,Comedy
One Night at McCool's,Comedy
V.I. Warshawski,Drama
Glory,Drama
Carnosaur,Horror
The Ninth Gate,Mystery & Suspense
New York Minute,Action & Adventure
Blue Valentine,Drama
The Jazz Singer,Musical & Performing Arts
The Other Sister,Drama
The Astronaut Farmer,Drama
Modigliani,Art House & International
Inbred,Art House & International
Pooh's Heffalump Movie,Animation
Good Will Hunting,Drama
Town & Country,Drama
Happy Feet,Animation
Deck the Halls,Comedy
Simone,Drama
The Adjuster,Drama
Turistas (Paradise Lost),Drama
New In Town,Comedy
The Prestige,Drama
Waist Deep,Drama
The Science of Sleep,Drama
Gracie,Drama
"See No Evil, Hear No Evil",Action & Adventure
The Safety of Objects,Mystery & Suspense
Dumb and Dumberer: When Harry Met Lloyd,Comedy
The Little Rascals,Comedy
Moonstruck,Drama
World Trade Center,Drama
The Portrait of a Lady,Drama
The Postman,Action & Adventure
Mixed Nuts,Comedy
While You Were Sleeping,Drama
No Country for Old Men,Drama
Pootie Tang,Comedy
Sans Soleil,Documentary
The Secret Life of Words,Art House & International
Dare,Drama
Formula 51,Action & Adventure
The Fifth Element,Drama
The Frozen Ground,Mystery & Suspense
Ice Age: Continental Drift,Action & Adventure
Showtime,Comedy
The Greatest Game Ever Played,Drama
Grizzly Man,Documentary
Galaxina,Science Fiction & Fantasy
"Oh, God! Book II",Comedy
Micki + Maude,Comedy
Bootmen,Drama
My Dinner with Andre,Drama
Mother's Boys,Mystery & Suspense
Robin Hood,Action & Adventure
Ghost Rider: Spirit of Vengeance,Action & Adventure
Naked Lunch,Drama
Theremin: An Electronic Odyssey,Documentary
The Whole Wide World,Drama
Hostel,Horror
Swordfish,Drama
Dark Skies,Mystery & Suspense
The Distinguished Gentleman,Comedy
The Time Traveler's Wife,Drama
Breathless,Drama
Love Actually,Comedy
"Oh, God!",Science Fiction & Fantasy
Bookies,Drama
Live and Let Die,Mystery & Suspense
What's Cooking?,Drama
The Funeral,Drama
Safe House,Mystery & Suspense
Welcome to Mooseport,Comedy
Trainspotting,Drama
I Wanna Hold Your Hand,Drama
UHF,Other
Lola Versus,Comedy
Countdown to Zero,Documentary
The Imposter,Documentary
The Perfect Score,Drama
A Perfect Getaway,Mystery & Suspense
Death Line (Raw Meat),Horror
Things to Do in Denver...When You're Dead,Drama
Mad Max 2: The Road Warrior,Action & Adventure
My Girl 2,Drama
Candy,Drama
The Secret Garden,Drama
Get on the Bus,Drama
Ghosts of Abu Ghraib,Documentary
Punchline,Drama
Bridget Jones - The Edge of Reason,Drama
Code Name: The Cleaner,Action & Adventure
Fast & Furious,Mystery & Suspense
House of 1000 Corpses,Horror
What Women Want,Comedy
River's Edge,Drama
The Babysitter,Mystery & Suspense
Saint of 9/11,Documentary
Black Death,Drama
Little Manhattan,Drama
In Search of Beethoven,Musical & Performing Arts
Taps,Drama
"Planes, Trains and Automobiles",Comedy
Mirrors,Mystery & Suspense
A Shot at Glory,Drama
Flipped,Drama
Sweet Sixteen,Drama
Cold Creek Manor,Mystery & Suspense
Snake Eyes,Drama
Croupier,Mystery & Suspense
What About Bob?,Drama
The Ex,Comedy
A Haunted House 2,Comedy
Real Steel,Drama
Wanted,Action & Adventure
Thieves Like Us,Drama
In Dreams,Mystery & Suspense
Mallrats,Comedy
Medicine Man,Drama
Sea Monsters: A Prehistoric Adventure,Documentary
Ray,Drama
Coach Carter,Drama
Training Day,Drama
Saturday Night Fever,Drama
The Mother,Drama
Under Fire,Mystery & Suspense
Hairspray,Drama
Sweet Liberty,Comedy
Urban Cowboy,Other
Shooter,Drama
Crumb,Comedy
Just Friends,Drama
Over the Edge,Drama
Operation Dumbo Drop,Comedy
The Postman Always Rings Twice,Mystery & Suspense
Monster,Drama
Bright Leaves,Documentary
Teenage Paparazzo,Documentary
The Gauntlet,Mystery & Suspense
Jerry Maguire,Drama
Felon,Drama
On Golden Pond,Drama
Army of Darkness,Action & Adventure
Maverick,Other
The Little Mermaid,Animation
Astro Boy (AstroBoy),Action & Adventure
The Trip,Art House & International
Pete Seeger: The Power of Song,Documentary
Zombi 2,Horror
Jaws 2,Action & Adventure
Maniac,Horror
Velvet Goldmine,Musical & Performing Arts
Undertaking Betty,Drama
Taking Lives,Drama
The Illusionist (L'illusionniste),Drama
Titanic,Drama
The Tillman Story,Documentary
To The Wonder,Drama
Snow Angels,Drama
Mrs. Dalloway,Drama
F for Fake,Documentary
Saving Face,Drama
The Jerky Boys,Comedy
The Unbelievable Truth,Drama
Article 99,Drama
Great Balls of Fire,Drama
Condorman,Action & Adventure
Man of the House,Comedy
Broken,Documentary
The Big Red One,Drama
Mighty Aphrodite,Comedy
Captain Phillips,Drama
Amityville II: The Possession,Horror
The Long Kiss Goodnight,Mystery & Suspense
Fool's Gold,Action & Adventure
Doogal,Animation
Bait,Drama
Body of Evidence,Mystery & Suspense
The Hunger Games,Drama
Hell's Kitchen N.Y.C.,Drama
The Lake House,Drama
In the Name of the Father,Drama
Desperate Measures,Drama
The Invasion,Mystery & Suspense
Eye of the Needle,Drama
Funny Lady,Drama
Alvin and the Chipmunks,Animation
Pina,Musical & Performing Arts
Capote,Drama
Dead Men Don't Wear Plaid,Mystery & Suspense
Tarzan,Drama
Cocoon: The Return,Drama
Death Defying Acts,Drama
Half Baked,Comedy
Dance of the Dead,Action & Adventure
Around the World in 80 Days,Action & Adventure
LOL,Comedy
